Values-and-Quantities
Accuracy,0.99,0.98,0.985,0.985
Balanced Accuracy,0.9949748743718593,0.9899497487437185,0.4949748743718593,0.992462311557789
P-value,0.31608959011410964,0.10037940137475503,0.5633753194805022,0.17784573636720996
Tau,0.5744416851006197,0.4426961706379302,-0.007124524175598955,0.4962168435058351
1,2,3,4,5

Accuracy,0.99,0.97,0.975,0.975
Balanced Accuracy,0.6666666666666666,0.6565143824027073,0.4949238578680203,0.6590524534686971
P-value,0.31608959011410964,0.47629288228537425,0.6536599246005033,0.7038289201331165
Tau,0.5744416851006197,0.2437113077540335,-0.01240251945565374,0.2761888091436941
2,1,3,4,5

Accuracy,0.98,0.97,0.975,0.965
Balanced Accuracy,0.6,0.5948717948717949,0.5974358974358974,0.5923076923076923
P-value,0.10037940137475503,0.47629288228537425,0.25374439925904707,0.7367829369865468
Tau,0.4426961706379302,0.2437113077540335,0.3057762147373361,0.2058790548922549
3,1,2,4,5

Accuracy,0.985,0.975,0.975,0.97
Balanced Accuracy,0.49747474747474746,0.49242424242424243,0.7398989898989898,0.4898989898989899
P-value,0.5633753194805022,0.6536599246005033,0.25374439925904707,0.41195234594745067
Tau,-0.007124524175598956,-0.012402519455653741,0.3057762147373362,-0.014357683075131602
4,1,2,3,5

Accuracy,0.985,0.975,0.965,0.97
Balanced Accuracy,0.625,0.6198979591836735,0.6147959183673469,0.49489795918367346
P-value,0.17784573636720996,0.7038289201331165,0.7367829369865468,0.41195234594745067
Tau,0.4962168435058351,0.2761888091436941,0.20587905489225491,-0.0143576830751316
5,1,2,3,4

