Physical-Entities
Accuracy,0.505,0.61,0.535,0.6
Balanced Accuracy,0.49013687600644124,0.5938003220611916,0.5428743961352657,0.5821256038647343
P-value,0.002848486728842201,0.0004187773995969038,0.006767453853825494,7.086586039769857e-05
Tau,-0.021165070607474402,0.20605442605972016,0.08705982968544491,0.18439156705727694
1,2,3,4,5

Accuracy,0.505,0.685,0.63,0.705
Balanced Accuracy,0.4886455798864558,0.624319314100336,0.6913451511991657,0.6389178542463214
P-value,0.002848486728842201,0.5873668534790759,1.0588865374169338e-08,0.32378315315027284
Tau,-0.021165070607474402,0.2545311796864374,0.36212793260209863,0.2907001880127952
2,1,3,4,5

Accuracy,0.61,0.685,0.605,0.81
Balanced Accuracy,0.6131617289946576,0.630281690140845,0.6759349198640117,0.759106362311802
P-value,0.0004187773995969038,0.5873668534790759,3.525728797007911e-10,0.6569728150988472
Tau,0.20605442605972019,0.2545311796864374,0.3252551801367827,0.5296548262728351
3,1,2,4,5

Accuracy,0.535,0.63,0.605,0.615
Balanced Accuracy,0.5441954559601618,0.6713352007469654,0.6503267973856208,0.6646436352318705
P-value,0.006767453853825494,1.0588865374169338e-08,3.525728797007911e-10,1.7377927787525666e-11
Tau,0.0870598296854449,0.3621279326020987,0.3252551801367827,0.3640974392422993
4,1,2,3,5

Accuracy,0.6,0.705,0.81,0.615
Balanced Accuracy,0.6035007610350076,0.652080162354135,0.7706747843734145,0.7012937595129376
P-value,7.086586039769857e-05,0.32378315315027284,0.6569728150988472,1.7377927787525666e-11
Tau,0.1843915670572769,0.2907001880127952,0.5296548262728351,0.36409743924229937
5,1,2,3,4

