Values-and-Quantities
Accuracy,0.835,0.855,0.815,0.81
Balanced Accuracy,0.5525067750677507,0.5972222222222222,0.5836720867208671,0.6239837398373984
P-value,2.211413562114837e-07,2.2179925102486752e-06,0.00499786048214408,0.16792459290501285
Tau,0.2584141003615169,0.4064817382975187,0.23053335177600223,0.2832739276584562
1,2,3,4,5

Accuracy,0.835,0.97,0.91,0.865
Balanced Accuracy,0.8179487179487179,0.7897435897435897,0.6615384615384616,0.6384615384615384
P-value,2.211413562114837e-07,0.5588830040029868,0.008412782060385256,7.711083853454283e-05
Tau,0.2584141003615169,0.49228711120600477,0.18086654409396621,0.1285583110456513
2,1,3,4,5

Accuracy,0.855,0.97,0.93,0.885
Balanced Accuracy,0.9248704663212435,0.7091043671354552,0.8260547742413027,0.8027387120651369
P-value,2.2179925102486752e-06,0.5588830040029868,0.03532249393510697,0.0005238615618790761
Tau,0.4064817382975187,0.4922871112060047,0.4297325281067404,0.3308752870141736
3,1,2,4,5

Accuracy,0.815,0.91,0.93,0.855
Balanced Accuracy,0.6587913854066216,0.5506268081002893,0.6415943426550949,0.6539697846351655
P-value,0.00499786048214408,0.008412782060385256,0.03532249393510697,0.14701272807913046
Tau,0.2305333517760022,0.18086654409396621,0.4297325281067404,0.2553607853927387
4,1,2,3,5

Accuracy,0.81,0.865,0.885,0.855
Balanced Accuracy,0.6618037135278514,0.5298408488063661,0.5904067197170646,0.6058797524314765
P-value,0.16792459290501285,7.711083853454283e-05,0.0005238615618790761,0.14701272807913046
Tau,0.2832739276584562,0.1285583110456513,0.3308752870141736,0.25536078539273876
5,1,2,3,4

