Sets
Accuracy,0.61,0.505,0.465,0.555
Balanced Accuracy,0.607644388132193,0.5635624538063563,0.4436173582515046,0.5556435434484215
P-value,0.10611688231823577,1.5894093224030628e-13,0.4766543369316447,0.03435140484289132
Tau,0.21003223042096367,0.14102497749791765,-0.11117437503345381,0.10832521728576061
1,2,3,4,5

Accuracy,0.61,0.605,0.505,0.565
Balanced Accuracy,0.6024520148728771,0.6223997588182092,0.49939704552306297,0.5646166214450808
P-value,0.10611688231823577,1.082100286585549e-08,0.3661865646201665,0.6177661101820654
Tau,0.21003223042096364,0.278362924981864,-0.0012186507084090542,0.1289420236147097
2,1,3,4,5

Accuracy,0.505,0.605,0.44,0.6
Balanced Accuracy,0.5782224532224531,0.6582640332640333,0.4719334719334719,0.6361746361746362
P-value,1.5894093224030628e-13,1.082100286585549e-08,3.063417136567032e-11,1.895167743184714e-07
Tau,0.14102497749791765,0.27836292498186405,-0.049886447669396684,0.23897123338293524
3,1,2,4,5

Accuracy,0.465,0.505,0.44,0.51
Balanced Accuracy,0.4451970443349754,0.49938423645320196,0.47783251231527096,0.5086206896551724
P-value,0.4766543369316447,0.3661865646201665,3.063417136567032e-11,0.16060456873073042
Tau,-0.11117437503345381,-0.0012186507084090542,-0.049886447669396684,0.017022663741204886
4,1,2,3,5

Accuracy,0.555,0.565,0.6,0.51
Balanced Accuracy,0.5527210884353742,0.5643257302921169,0.6048419367747099,0.5084033613445378
P-value,0.03435140484289132,0.6177661101820654,1.895167743184714e-07,0.16060456873073042
Tau,0.10832521728576061,0.1289420236147097,0.23897123338293524,0.017022663741204886
5,1,2,3,4

