Values-and-Quantities
Accuracy,0.95,0.95,0.905,0.86
Balanced Accuracy,0.6310726310726311,0.6738816738816739,0.65007215007215,0.6262626262626263
P-value,0.12641742713824877,0.33589531066335143,0.32023856040792237,0.014383616268411541
Tau,0.3827956110848363,0.4314032157869713,0.25222518089677615,0.17407765595569782
1,2,3,4,5

Accuracy,0.95,0.97,0.915,0.87
Balanced Accuracy,0.7794871794871795,0.7897435897435897,0.6641025641025642,0.641025641025641
P-value,0.12641742713824877,0.5588830040029868,0.01359813260656643,0.0001337025390182893
Tau,0.3827956110848363,0.49228711120600477,0.18887686585995425,0.13315005718713652
2,1,3,4,5

Accuracy,0.95,0.97,0.925,0.89
Balanced Accuracy,0.767579570688379,0.7091043671354552,0.7546262028127313,0.8053293856402665
P-value,0.33589531066335143,0.5588830040029868,0.05342104910763914,0.0008679620831807272
Tau,0.43140321578697133,0.4922871112060047,0.34497836606630367,0.3393417110672417
3,1,2,4,5

Accuracy,0.905,0.915,0.925,0.865
Balanced Accuracy,0.6059782608695652,0.5543478260869565,0.6168478260869565,0.6698369565217391
P-value,0.32023856040792237,0.01359813260656643,0.05342104910763914,0.13859200957459356
Tau,0.25222518089677615,0.18887686585995425,0.3449783660663036,0.27863910628767635
4,1,2,3,5

Accuracy,0.86,0.87,0.89,0.865
Balanced Accuracy,0.5599999999999999,0.5314285714285715,0.5942857142857143,0.6142857142857143
P-value,0.014383616268411541,0.0001337025390182893,0.0008679620831807272,0.13859200957459356
Tau,0.17407765595569785,0.13315005718713652,0.3393417110672417,0.27863910628767635
5,1,2,3,4

