Sets
Accuracy,0.74,0.84,0.8,0.92
Balanced Accuracy,0.6055796055796056,0.6584896584896585,0.4660894660894661,0.48677248677248675
P-value,1.9230422638182766e-08,0.0010610617782871473,0.0010610617782871473,0.12641742713824877
Tau,0.11044830448703245,0.19967972537438733,-0.04272358312259274,-0.03863074974250641
1,2,3,4,5

Accuracy,0.74,0.73,0.62,0.75
Balanced Accuracy,0.5288853796552178,0.5802079220950125,0.4354520331622582,0.5227003553099092
P-value,1.9230422638182766e-08,0.013179704033191917,0.013179704033191917,1.039635049839146e-11
Tau,0.11044830448703245,0.19319740295466023,-0.15547715529000958,0.12674725572849682
2,1,3,4,5

Accuracy,0.84,0.73,0.72,0.84
Balanced Accuracy,0.5628936820003818,0.6163389959916015,0.46554686008780305,0.5233823248711587
P-value,0.0010610617782871473,0.013179704033191917,1.0,4.465351235913201e-06
Tau,0.1996797253743873,0.19319740295466026,-0.06890627982439396,0.10840256968695956
3,1,2,4,5

Accuracy,0.8,0.62,0.72,0.82
Balanced Accuracy,0.48654323344149647,0.40637526245466693,0.46554686008780305,0.48520710059171596
P-value,0.0010610617782871473,0.013179704033191917,1.0,4.465351235913201e-06
Tau,-0.04272358312259274,-0.15547715529000958,-0.06890627982439396,-0.06858121755705605
4,1,2,3,5

Accuracy,0.92,0.75,0.84,0.82
Balanced Accuracy,0.4717948717948718,0.676923076923077,0.6256410256410256,0.4205128205128205
P-value,0.12641742713824877,1.039635049839146e-11,4.465351235913201e-06,4.465351235913201e-06
Tau,-0.038630749742506416,0.12674725572849682,0.10840256968695958,-0.06858121755705605
5,1,2,3,4

