Sets
Accuracy,0.58,0.685,0.48,0.565
Balanced Accuracy,0.5862588344340169,0.5943112038002549,0.44038929440389296,0.511006835824354
P-value,0.0004908068853390095,0.03190317554145109,0.03786974928899896,0.4587792481401257
Tau,0.1603465647065197,0.21151209399287102,-0.11239651340041147,0.02143889249347208
1,2,3,4,5

Accuracy,0.58,0.595,0.44,0.565
Balanced Accuracy,0.574517065358823,0.5866780102091882,0.43739365428885996,0.5605544990491442
P-value,0.0004908068853390095,1.6953838811028345e-08,0.1602026876946838,0.0061090431610857435
Tau,0.1603465647065197,0.20914850798483514,-0.127005010036318,0.12689958291002953
2,1,3,4,5

Accuracy,0.685,0.595,0.495,0.64
Balanced Accuracy,0.6185897435897436,0.6261655011655012,0.42336829836829837,0.5815850815850816
P-value,0.03190317554145109,1.6953838811028345e-08,2.4125290914512288e-05,0.0039032364151155435
Tau,0.21151209399287105,0.20914850798483514,-0.1288531753283742,0.14171267276056562
3,1,2,4,5

Accuracy,0.48,0.44,0.495,0.505
Balanced Accuracy,0.44701884460920605,0.4355885078776645,0.4458346205334157,0.4788899186489548
P-value,0.03786974928899896,0.1602026876946838,2.4125290914512288e-05,0.18195363937387993
Tau,-0.11239651340041147,-0.127005010036318,-0.1288531753283742,-0.043614528665956304
4,1,2,3,5

Accuracy,0.565,0.565,0.64,0.505
Balanced Accuracy,0.5104395604395604,0.5664835164835165,0.5615384615384615,0.47747252747252744
P-value,0.4587792481401257,0.0061090431610857435,0.0039032364151155435,0.18195363937387993
Tau,0.021438892493472084,0.1268995829100295,0.14171267276056562,-0.04361452866595631
5,1,2,3,4

